Activity,DietPreference,SleepHours,Age,RecommendedDiet
Low,Vegan,6.7,38,Balanced
High,Non-Veg,4.0,34,Balanced
High,Non-Veg,9.2,66,Balanced
Medium,Vegan,7.8,41,Balanced
High,Vegan,8.0,67,High Protein
Low,Veg,5.5,53,Balanced
Medium,Veg,6.9,48,Balanced
Low,Vegan,7.3,64,Balanced
Low,Veg,6.6,51,Balanced
High,Vegan,4.4,19,High Protein
Medium,Vegan,10.0,59,Balanced
High,Veg,8.3,20,Balanced
High,Veg,7.6,47,Balanced
Medium,Non-Veg,9.0,25,Mediterranean
Low,Non-Veg,8.0,69,Low Carb
Low,Non-Veg,6.0,24,Low Carb
Medium,Vegan,8.9,29,Balanced
Low,Veg,8.3,36,Balanced
Medium,Vegan,6.0,43,Balanced
Medium,Veg,8.2,45,Balanced
High,Vegan,6.6,32,High Protein
Medium,Non-Veg,7.3,31,Mediterranean
High,Non-Veg,7.9,65,Balanced
Low,Non-Veg,9.1,31,Low Carb
Low,Vegan,6.0,20,Balanced
Low,Veg,7.5,67,Balanced
Low,Veg,10.0,46,Balanced
High,Non-Veg,6.7,23,Balanced
Low,Non-Veg,7.3,66,Low Carb
Medium,Non-Veg,10.0,40,Mediterranean
Medium,Non-Veg,8.0,45,Mediterranean
Medium,Veg,4.8,31,Balanced
High,Vegan,5.8,31,High Protein
Low,Vegan,8.0,37,Balanced
Low,Vegan,7.6,30,Balanced
Low,Vegan,7.2,44,Balanced
High,Non-Veg,10.0,52,Balanced
Medium,Non-Veg,6.1,62,Mediterranean
Medium,Non-Veg,6.9,19,Mediterranean
Low,Vegan,4.1,58,Balanced
Medium,Non-Veg,8.7,62,Mediterranean
Medium,Non-Veg,5.8,57,Mediterranean
High,Veg,8.6,65,Balanced
High,Veg,8.4,41,Balanced
High,Non-Veg,10.0,46,Balanced
High,Veg,8.0,20,Balanced
Low,Veg,6.5,62,Balanced
High,Non-Veg,7.7,21,Balanced
Medium,Non-Veg,5.9,67,Mediterranean
Low,Non-Veg,7.5,19,Low Carb
Medium,Non-Veg,6.7,37,Mediterranean
Medium,Vegan,6.9,32,Balanced
Medium,Vegan,5.7,66,Balanced
High,Non-Veg,7.5,49,Balanced
High,Veg,8.2,59,Balanced
Low,Non-Veg,4.5,18,Low Carb
Low,Non-Veg,6.0,55,Low Carb
High,Veg,7.3,52,Balanced
Medium,Vegan,4.0,68,Balanced
Low,Non-Veg,9.6,24,Low Carb
High,Non-Veg,5.9,62,Balanced
High,Vegan,5.6,30,High Protein
High,Vegan,6.7,66,High Protein
Medium,Veg,7.2,18,Balanced
High,Vegan,5.9,31,High Protein
High,Vegan,8.5,46,High Protein
High,Vegan,7.6,20,High Protein
High,Veg,5.7,63,Balanced
Low,Vegan,6.2,41,Balanced
Low,Vegan,4.7,18,Balanced
High,Veg,5.1,65,Balanced
Medium,Vegan,7.6,27,Balanced
Low,Vegan,5.8,30,Balanced
High,Veg,9.7,53,Balanced
Low,Non-Veg,7.1,26,Low Carb
Low,Veg,5.0,31,Balanced
Medium,Vegan,5.3,53,Balanced
High,Vegan,8.6,27,High Protein
High,Vegan,6.9,57,High Protein
Medium,Veg,8.5,40,Balanced
Medium,Vegan,6.5,52,Balanced
High,Vegan,6.2,24,High Protein
High,Veg,8.7,59,Balanced
Medium,Non-Veg,5.7,52,Mediterranean
Low,Non-Veg,7.7,19,Low Carb
Low,Vegan,6.7,32,Balanced
Medium,Veg,8.3,26,Balanced
Low,Vegan,9.7,64,Balanced
Medium,Veg,6.4,34,Balanced
Low,Veg,6.2,56,Balanced
Low,Non-Veg,8.0,69,Low Carb
High,Non-Veg,5.4,35,Balanced
High,Veg,9.4,32,Balanced
Low,Vegan,9.2,35,Balanced
Low,Non-Veg,5.5,41,Low Carb
High,Vegan,4.6,40,High Protein
High,Non-Veg,5.3,29,Balanced
High,Non-Veg,5.3,40,Balanced
Medium,Vegan,8.2,38,Balanced
Low,Non-Veg,9.3,43,Low Carb
High,Non-Veg,8.2,25,Balanced
Low,Vegan,6.6,47,Balanced
Medium,Non-Veg,7.5,51,Mediterranean
Medium,Non-Veg,5.7,19,Mediterranean
High,Non-Veg,8.6,22,Balanced
Medium,Vegan,7.6,48,Balanced
Low,Veg,8.2,50,Balanced
High,Vegan,5.9,21,High Protein
Low,Veg,6.7,23,Balanced
Low,Non-Veg,8.1,40,Low Carb
Medium,Veg,9.2,62,Balanced
Medium,Vegan,6.1,36,Balanced
Medium,Vegan,8.2,60,Balanced
Medium,Non-Veg,5.9,62,Mediterranean
Medium,Veg,10.0,25,Balanced
High,Non-Veg,6.4,56,Balanced
Low,Non-Veg,8.0,30,Low Carb
Low,Vegan,7.2,18,Balanced
Low,Veg,10.0,23,Balanced
Low,Veg,7.3,24,Balanced
Medium,Veg,6.2,65,Balanced
Low,Veg,8.0,44,Balanced
High,Non-Veg,7.9,32,Balanced
High,Non-Veg,6.8,69,Balanced
Low,Vegan,5.4,51,Balanced
Low,Non-Veg,6.2,40,Low Carb
High,Non-Veg,8.3,65,Balanced
High,Vegan,4.4,66,High Protein
Medium,Vegan,6.6,41,Balanced
High,Vegan,8.5,32,High Protein
Medium,Non-Veg,6.9,52,Mediterranean
Medium,Non-Veg,10.0,21,Mediterranean
Medium,Vegan,4.4,61,Balanced
Medium,Vegan,5.6,54,Balanced
Medium,Vegan,4.0,34,Balanced
Low,Non-Veg,10.0,48,Low Carb
High,Non-Veg,5.6,55,Balanced
Medium,Veg,4.0,27,Balanced
High,Non-Veg,6.1,67,Balanced
High,Non-Veg,4.9,44,Balanced
Medium,Non-Veg,6.1,59,Mediterranean
Low,Vegan,7.1,23,Balanced
Medium,Non-Veg,8.2,23,Mediterranean
Low,Vegan,6.7,69,Balanced
High,Veg,7.0,32,Balanced
Low,Veg,6.1,21,Balanced
Low,Vegan,4.7,65,Balanced
Low,Vegan,4.2,57,Balanced
High,Vegan,6.5,24,High Protein
High,Non-Veg,7.1,68,Balanced
Low,Veg,6.3,66,Balanced
Low,Vegan,4.3,62,Balanced
Medium,Non-Veg,7.3,64,Mediterranean
Low,Veg,9.4,43,Balanced
Medium,Non-Veg,6.8,48,Mediterranean
Low,Veg,6.1,19,Balanced
Medium,Non-Veg,6.9,45,Mediterranean
High,Veg,5.3,59,Balanced
Low,Veg,5.2,30,Balanced
Low,Non-Veg,7.7,35,Low Carb
Low,Vegan,8.5,47,Balanced
Low,Veg,6.8,28,Balanced
Medium,Vegan,4.0,30,Balanced
Low,Non-Veg,7.5,68,Low Carb
High,Vegan,10.0,41,High Protein
High,Vegan,6.6,46,High Protein
Low,Vegan,6.7,22,Balanced
High,Vegan,5.7,52,High Protein
Low,Vegan,7.7,36,Balanced
Low,Veg,6.0,30,Balanced
High,Veg,8.5,22,Balanced
Low,Veg,6.0,61,Balanced
High,Non-Veg,7.5,31,Balanced
Medium,Vegan,6.9,55,Balanced
Low,Veg,9.3,39,Balanced
Medium,Non-Veg,7.6,26,Mediterranean
High,Veg,9.1,66,Balanced
Medium,Veg,7.2,57,Balanced
Medium,Vegan,6.7,43,Balanced
High,Non-Veg,6.9,62,Balanced
Medium,Vegan,5.8,22,Balanced
Medium,Vegan,7.8,46,Balanced
High,Veg,6.0,39,Balanced
Medium,Vegan,7.2,66,Balanced
High,Non-Veg,8.3,20,Balanced
Medium,Vegan,9.4,45,Balanced
High,Vegan,7.2,55,High Protein
High,Vegan,8.3,31,High Protein
Medium,Veg,8.1,64,Balanced
Medium,Non-Veg,6.4,31,Mediterranean
Medium,Veg,10.0,60,Balanced
Low,Veg,6.1,28,Balanced
Low,Veg,7.1,26,Balanced
Low,Veg,9.2,55,Balanced
High,Veg,9.1,64,Balanced
Medium,Non-Veg,7.0,61,Mediterranean
High,Vegan,8.5,23,High Protein
Low,Veg,6.7,18,Balanced
Medium,Veg,6.3,42,Balanced
High,Non-Veg,5.2,33,Balanced
Medium,Non-Veg,8.1,69,Mediterranean
High,Vegan,8.2,32,High Protein
Medium,Non-Veg,6.1,51,Mediterranean
Low,Vegan,7.4,34,Balanced
Low,Veg,10.0,20,Balanced
Medium,Veg,8.7,20,Balanced
High,Vegan,5.6,54,High Protein
Low,Non-Veg,8.5,34,Low Carb
Low,Vegan,5.7,66,Balanced
Low,Non-Veg,4.0,69,Low Carb
Medium,Veg,7.0,55,Balanced
Medium,Non-Veg,9.3,18,Mediterranean
High,Vegan,9.1,24,High Protein
High,Vegan,7.6,43,High Protein
High,Veg,6.2,64,Balanced
Medium,Non-Veg,7.7,56,Mediterranean
Medium,Non-Veg,6.6,36,Mediterranean
High,Non-Veg,6.2,69,Balanced
High,Veg,8.6,47,Balanced
Medium,Non-Veg,6.2,60,Mediterranean
High,Vegan,8.7,31,High Protein
Low,Non-Veg,6.1,30,Low Carb
Medium,Veg,10.0,37,Balanced
High,Non-Veg,4.5,43,Balanced
Medium,Non-Veg,5.6,44,Mediterranean
Low,Vegan,6.8,42,Balanced
Medium,Non-Veg,4.0,26,Mediterranean
Medium,Vegan,4.0,58,Balanced
Medium,Vegan,4.0,65,Balanced
Medium,Veg,6.6,29,Balanced
Low,Vegan,6.6,27,Balanced
Medium,Vegan,7.5,23,Balanced
Medium,Veg,6.7,67,Balanced
High,Vegan,7.4,51,High Protein
Medium,Veg,6.3,69,Balanced
High,Non-Veg,8.1,58,Balanced
Low,Veg,7.9,36,Balanced
Low,Vegan,6.5,23,Balanced
Low,Veg,7.8,19,Balanced
Low,Vegan,6.7,32,Balanced
High,Non-Veg,4.7,34,Balanced
Medium,Veg,8.4,33,Balanced
Low,Non-Veg,5.6,45,Low Carb
Medium,Vegan,8.3,38,Balanced
High,Vegan,7.5,25,High Protein
High,Non-Veg,6.9,27,Balanced
High,Veg,4.2,27,Balanced
Low,Veg,9.3,67,Balanced
Medium,Vegan,6.5,27,Balanced
Medium,Non-Veg,8.0,26,Mediterranean
Medium,Non-Veg,6.8,45,Mediterranean
High,Veg,6.6,41,Balanced
Low,Veg,7.3,36,Balanced
High,Veg,7.0,50,Balanced
High,Non-Veg,6.6,21,Balanced
Medium,Veg,6.9,20,Balanced
High,Veg,7.6,59,Balanced
Medium,Vegan,7.7,29,Balanced
Low,Veg,7.1,35,Balanced
Medium,Veg,7.9,40,Balanced
Low,Non-Veg,6.4,37,Low Carb
Medium,Non-Veg,10.0,23,Mediterranean
High,Vegan,9.2,51,High Protein
High,Veg,8.1,59,Balanced
Low,Vegan,4.1,19,Balanced
Low,Non-Veg,7.9,47,Low Carb
Low,Vegan,6.5,26,Balanced
Medium,Non-Veg,5.5,44,Mediterranean
Medium,Vegan,6.5,59,Balanced
Low,Vegan,5.7,51,Balanced
High,Veg,7.8,57,Balanced
Medium,Vegan,9.4,41,Balanced
Medium,Veg,8.2,66,Balanced
Medium,Veg,10.0,34,Balanced
Low,Veg,4.7,46,Balanced
Low,Veg,6.2,53,Balanced
Low,Vegan,5.6,67,Balanced
Low,Non-Veg,8.8,29,Low Carb
Low,Non-Veg,6.7,48,Low Carb
High,Non-Veg,7.3,66,Balanced
High,Vegan,8.0,26,High Protein
Low,Veg,4.8,36,Balanced
Medium,Non-Veg,6.1,63,Mediterranean
Low,Vegan,8.5,63,Balanced
High,Veg,6.2,34,Balanced
High,Non-Veg,4.4,19,Balanced
Medium,Veg,5.6,57,Balanced
High,Non-Veg,6.6,22,Balanced
Low,Non-Veg,7.3,56,Low Carb
Medium,Non-Veg,6.9,65,Mediterranean
Low,Veg,6.1,33,Balanced
Low,Vegan,8.4,34,Balanced
Medium,Veg,6.8,44,Balanced
Low,Non-Veg,7.3,24,Low Carb
High,Veg,6.2,69,Balanced
Low,Vegan,9.3,25,Balanced
Medium,Veg,6.4,25,Balanced
Medium,Vegan,7.1,40,Balanced
Medium,Vegan,8.6,49,Balanced
Low,Veg,7.4,60,Balanced
Medium,Non-Veg,7.4,64,Mediterranean
Medium,Vegan,4.0,35,Balanced
Low,Veg,8.0,55,Balanced
High,Vegan,7.1,29,High Protein
Low,Non-Veg,7.8,32,Low Carb
Medium,Veg,7.3,45,Balanced
Medium,Veg,6.2,55,Balanced
Low,Veg,8.3,67,Balanced
High,Non-Veg,7.3,48,Balanced
Medium,Vegan,5.1,69,Balanced
Medium,Veg,9.0,26,Balanced
Medium,Vegan,4.9,25,Balanced
Low,Vegan,8.4,63,Balanced
Medium,Non-Veg,9.2,36,Mediterranean
High,Veg,5.3,68,Balanced
Medium,Vegan,6.8,25,Balanced
Medium,Veg,6.7,51,Balanced
High,Veg,6.7,21,Balanced
Medium,Non-Veg,9.7,48,Mediterranean
Low,Veg,5.4,55,Balanced
Low,Veg,6.5,20,Balanced
Low,Vegan,9.3,52,Balanced
High,Non-Veg,6.5,36,Balanced
Medium,Veg,5.6,60,Balanced
Low,Vegan,7.4,46,Balanced
High,Non-Veg,8.2,27,Balanced
Medium,Non-Veg,6.4,29,Mediterranean
High,Vegan,7.8,63,High Protein
Low,Vegan,4.9,47,Balanced
Low,Vegan,5.0,47,Balanced
Low,Vegan,6.3,35,Balanced
High,Vegan,7.9,41,High Protein
High,Veg,8.1,49,Balanced
Low,Veg,5.2,26,Balanced
High,Non-Veg,8.1,64,Balanced
Low,Veg,7.2,41,Balanced
Low,Veg,5.7,43,Balanced
Medium,Veg,5.0,20,Balanced
High,Vegan,7.3,40,High Protein
Low,Non-Veg,8.9,28,Low Carb
Low,Non-Veg,7.1,27,Low Carb
High,Non-Veg,5.6,67,Balanced
Medium,Non-Veg,4.2,53,Mediterranean
Medium,Veg,9.3,30,Balanced
Low,Veg,8.6,46,Balanced
High,Vegan,7.5,55,High Protein
Medium,Non-Veg,9.2,30,Mediterranean
High,Veg,7.3,43,Balanced
High,Veg,6.2,37,Balanced
Low,Vegan,7.8,22,Balanced
Medium,Vegan,5.8,37,Balanced
Low,Vegan,5.5,31,Balanced
Medium,Veg,8.2,62,Balanced
Medium,Veg,8.3,31,Balanced
Medium,Vegan,5.1,25,Balanced
Medium,Non-Veg,5.1,65,Mediterranean
Medium,Vegan,6.3,30,Balanced
High,Vegan,5.9,41,High Protein
Low,Vegan,7.7,32,Balanced
High,Vegan,7.1,68,High Protein
Medium,Veg,8.7,18,Balanced
Low,Non-Veg,7.5,39,Low Carb
Medium,Vegan,6.0,51,Balanced
Low,Non-Veg,4.2,67,Low Carb
High,Non-Veg,7.3,68,Balanced
Low,Non-Veg,4.4,57,Low Carb
Low,Vegan,6.0,20,Balanced
Low,Veg,5.9,43,Balanced
Low,Vegan,6.2,31,Balanced
Low,Non-Veg,5.0,58,Low Carb
Medium,Non-Veg,5.9,25,Mediterranean
Low,Veg,8.7,66,Balanced
Low,Vegan,8.7,33,Balanced
High,Non-Veg,9.3,59,Balanced
Low,Veg,7.0,38,Balanced
High,Non-Veg,7.4,27,Balanced
Medium,Veg,8.7,42,Balanced
Low,Veg,4.8,55,Balanced
High,Vegan,8.2,39,High Protein
High,Non-Veg,9.0,66,Balanced
Medium,Vegan,5.7,65,Balanced
Low,Non-Veg,9.1,64,Low Carb
Low,Vegan,10.0,63,Balanced
High,Non-Veg,8.2,21,Balanced
Low,Vegan,7.9,21,Balanced
High,Veg,5.3,47,Balanced
Low,Non-Veg,8.6,19,Low Carb
High,Non-Veg,5.5,46,Balanced
Low,Veg,7.6,60,Balanced
Medium,Vegan,7.7,53,Balanced
Low,Non-Veg,4.0,38,Low Carb
Low,Non-Veg,7.6,38,Low Carb
Medium,Vegan,10.0,65,Balanced
Low,Veg,4.0,38,Balanced
Medium,Vegan,6.9,21,Balanced
Low,Vegan,4.1,18,Balanced
High,Vegan,5.7,43,High Protein
High,Non-Veg,4.1,68,Balanced
Low,Veg,7.2,19,Balanced
Low,Veg,8.2,26,Balanced
Low,Vegan,7.6,62,Balanced
High,Non-Veg,5.6,35,Balanced
Low,Vegan,6.1,65,Balanced
High,Non-Veg,7.4,65,Balanced
Medium,Non-Veg,5.7,59,Mediterranean
High,Non-Veg,5.0,58,Balanced
High,Non-Veg,6.6,28,Balanced
Medium,Veg,5.6,42,Balanced
High,Non-Veg,7.6,43,Balanced
Low,Non-Veg,8.9,53,Low Carb
Low,Vegan,10.0,59,Balanced
High,Vegan,7.5,52,High Protein
Low,Veg,8.0,55,Balanced
High,Vegan,6.1,20,High Protein
Low,Non-Veg,6.2,58,Low Carb
Low,Vegan,8.9,52,Balanced
High,Veg,6.6,67,Balanced
Low,Vegan,7.1,57,Balanced
High,Vegan,8.8,39,High Protein
Low,Veg,6.6,25,Balanced
Low,Veg,9.3,32,Balanced
Medium,Non-Veg,7.9,62,Mediterranean
Medium,Vegan,7.7,24,Balanced
High,Non-Veg,6.0,36,Balanced
Medium,Vegan,7.8,57,Balanced
High,Vegan,6.4,59,High Protein
Medium,Non-Veg,7.7,34,Mediterranean
Low,Vegan,6.8,18,Balanced
High,Vegan,8.5,62,High Protein
High,Vegan,7.0,46,High Protein
Low,Veg,10.0,30,Balanced
High,Non-Veg,6.6,65,Balanced
High,Veg,6.2,46,Balanced
Medium,Non-Veg,7.5,58,Mediterranean
High,Non-Veg,8.6,59,Balanced
Low,Vegan,8.6,23,Balanced
Medium,Non-Veg,7.3,22,Mediterranean
Medium,Veg,7.5,51,Balanced
Low,Veg,7.5,28,Balanced
Low,Veg,5.4,26,Balanced
Medium,Non-Veg,8.5,55,Mediterranean
High,Veg,5.1,57,Balanced
Medium,Non-Veg,5.4,58,Mediterranean
Low,Veg,7.1,26,Balanced
Medium,Veg,6.5,25,Balanced
Low,Non-Veg,8.2,61,Low Carb
Medium,Veg,7.7,57,Balanced
High,Vegan,7.2,20,High Protein
Medium,Non-Veg,5.3,30,Mediterranean
Medium,Non-Veg,7.0,36,Mediterranean
Low,Non-Veg,6.9,51,Low Carb
Low,Vegan,7.3,49,Balanced
Low,Non-Veg,6.4,66,Low Carb
Medium,Veg,7.8,33,Balanced
High,Veg,6.5,53,Balanced
Low,Veg,7.6,35,Balanced
Low,Non-Veg,8.2,31,Low Carb
Medium,Veg,6.2,47,Balanced
Low,Non-Veg,5.8,19,Low Carb
High,Veg,7.7,30,Balanced
High,Vegan,5.0,44,High Protein
Low,Vegan,8.7,69,Balanced
Low,Vegan,7.0,34,Balanced
Medium,Vegan,6.8,48,Balanced
High,Non-Veg,7.8,32,Balanced
High,Veg,7.7,37,Balanced
Low,Vegan,7.0,22,Balanced
Medium,Non-Veg,8.3,24,Mediterranean
High,Vegan,6.0,35,High Protein
High,Vegan,8.1,28,High Protein
Medium,Non-Veg,5.4,49,Mediterranean
Medium,Non-Veg,7.8,67,Mediterranean
High,Veg,6.5,44,Balanced
High,Veg,5.0,43,Balanced
Medium,Vegan,7.4,54,Balanced
High,Vegan,6.9,62,High Protein
Low,Veg,4.7,45,Balanced
Low,Veg,4.0,67,Balanced
Medium,Non-Veg,6.8,19,Mediterranean
Medium,Veg,9.4,37,Balanced
Medium,Veg,7.5,21,Balanced
Low,Vegan,6.0,30,Balanced
High,Veg,8.6,41,Balanced
Low,Vegan,8.4,65,Balanced
High,Veg,8.9,55,Balanced
Low,Non-Veg,8.0,57,Low Carb
High,Veg,8.3,65,Balanced
Low,Veg,8.1,62,Balanced
Medium,Veg,6.3,46,Balanced
Low,Vegan,4.5,53,Balanced
High,Non-Veg,6.2,19,Balanced
Low,Veg,8.7,58,Balanced
Low,Vegan,6.4,35,Balanced
Low,Non-Veg,6.8,66,Low Carb
Medium,Vegan,5.3,25,Balanced
Low,Vegan,6.2,32,Balanced
Medium,Non-Veg,7.0,58,Mediterranean
Medium,Veg,7.7,34,Balanced
Low,Vegan,6.3,40,Balanced
Low,Vegan,6.2,19,Balanced
Low,Veg,8.3,23,Balanced
High,Veg,7.5,46,Balanced
Low,Non-Veg,7.7,44,Low Carb
Medium,Non-Veg,9.3,54,Mediterranean
Low,Non-Veg,6.2,66,Low Carb
High,Veg,6.9,51,Balanced
Low,Vegan,7.8,35,Balanced
High,Vegan,5.7,59,High Protein
High,Non-Veg,7.3,27,Balanced
Low,Veg,7.0,55,Balanced
Medium,Vegan,10.0,61,Balanced
High,Non-Veg,7.1,34,Balanced
Low,Vegan,8.7,30,Balanced
Low,Vegan,8.2,69,Balanced
Medium,Veg,5.3,65,Balanced
High,Veg,4.7,59,Balanced
High,Vegan,7.4,44,High Protein
Low,Non-Veg,8.9,19,Low Carb
Low,Veg,7.4,51,Balanced
Medium,Vegan,7.1,48,Balanced
Medium,Veg,6.6,40,Balanced
High,Veg,5.0,24,Balanced
High,Veg,5.6,55,Balanced
